1603192812359|79|statement|connection 0|url jdbc:p6spy:h2:mem:testdb|drop table t_coffee if exists|drop table t_coffee if exists
1603192812367|0|statement|connection 0|url jdbc:p6spy:h2:mem:testdb|drop table t_order if exists|drop table t_order if exists
1603192812367|0|statement|connection 0|url jdbc:p6spy:h2:mem:testdb|drop table t_order_coffee if exists|drop table t_order_coffee if exists
1603192812372|15|statement|connection 0|url jdbc:p6spy:h2:mem:testdb|create table t_coffee ( id bigint auto_increment, create_time timestamp, update_time timestamp, name varchar(255), price bigint, primary key (id) )|create table t_coffee ( id bigint auto_increment, create_time timestamp, update_time timestamp, name varchar(255), price bigint, primary key (id) )
1603192812372|1|statement|connection 0|url jdbc:p6spy:h2:mem:testdb|create table t_order ( id bigint auto_increment, create_time timestamp, update_time timestamp, customer varchar(255), state integer not null, primary key (id) )|create table t_order ( id bigint auto_increment, create_time timestamp, update_time timestamp, customer varchar(255), state integer not null, primary key (id) )
1603192812372|0|statement|connection 0|url jdbc:p6spy:h2:mem:testdb|create table t_order_coffee ( coffee_order_id bigint not null, items_id bigint not null )|create table t_order_coffee ( coffee_order_id bigint not null, items_id bigint not null )
1603192812400|14|statement|connection 0|url jdbc:p6spy:h2:mem:testdb|insert into t_coffee (name, price, create_time, update_time) values ('espresso', 2000, now(), now())|insert into t_coffee (name, price, create_time, update_time) values ('espresso', 2000, now(), now())
1603192812400|0|statement|connection 0|url jdbc:p6spy:h2:mem:testdb|insert into t_coffee (name, price, create_time, update_time) values ('latte', 2500, now(), now())|insert into t_coffee (name, price, create_time, update_time) values ('latte', 2500, now(), now())
1603192812400|0|statement|connection 0|url jdbc:p6spy:h2:mem:testdb|insert into t_coffee (name, price, create_time, update_time) values ('capuccino', 2500, now(), now())|insert into t_coffee (name, price, create_time, update_time) values ('capuccino', 2500, now(), now())
1603192812400|0|statement|connection 0|url jdbc:p6spy:h2:mem:testdb|insert into t_coffee (name, price, create_time, update_time) values ('mocha', 3000, now(), now())|insert into t_coffee (name, price, create_time, update_time) values ('mocha', 3000, now(), now())
1603192812400|0|statement|connection 0|url jdbc:p6spy:h2:mem:testdb|insert into t_coffee (name, price, create_time, update_time) values ('macchiato', 3000, now(), now())|insert into t_coffee (name, price, create_time, update_time) values ('macchiato', 3000, now(), now())
1603192813070|2|statement|connection 0|url jdbc:p6spy:h2:mem:testdb|select * from INFORMATION_SCHEMA.SEQUENCES|select * from INFORMATION_SCHEMA.SEQUENCES
1603192814973|0|statement|connection 0|url jdbc:p6spy:h2:mem:testdb|select coffee0_.id as id1_0_, coffee0_.create_time as create_t2_0_, coffee0_.update_time as update_t3_0_, coffee0_.name as name4_0_, coffee0_.price as price5_0_ from t_coffee coffee0_|select coffee0_.id as id1_0_, coffee0_.create_time as create_t2_0_, coffee0_.update_time as update_t3_0_, coffee0_.name as name4_0_, coffee0_.price as price5_0_ from t_coffee coffee0_
1603192815004|0|commit|connection 0|url jdbc:p6spy:h2:mem:testdb||
1603192815019|0|statement|connection 0|url jdbc:p6spy:h2:mem:testdb|select coffee0_.id as id1_0_, coffee0_.create_time as create_t2_0_, coffee0_.update_time as update_t3_0_, coffee0_.name as name4_0_, coffee0_.price as price5_0_ from t_coffee coffee0_ where lower(coffee0_.name)=?|select coffee0_.id as id1_0_, coffee0_.create_time as create_t2_0_, coffee0_.update_time as update_t3_0_, coffee0_.name as name4_0_, coffee0_.price as price5_0_ from t_coffee coffee0_ where lower(coffee0_.name)='latte'
1603192815019|0|commit|connection 0|url jdbc:p6spy:h2:mem:testdb||
1603192815209|1|statement|connection 0|url jdbc:p6spy:h2:mem:testdb|insert into t_order (id, create_time, update_time, customer, state) values (null, ?, ?, ?, ?)|insert into t_order (id, create_time, update_time, customer, state) values (null, '2020-10-20T19:20:15.206+0800', '2020-10-20T19:20:15.206+0800', 'Li Lei', 0)
1603192815220|0|statement|connection 0|url jdbc:p6spy:h2:mem:testdb|insert into t_order_coffee (coffee_order_id, items_id) values (?, ?)|insert into t_order_coffee (coffee_order_id, items_id) values (1, 2)
1603192815221|0|commit|connection 0|url jdbc:p6spy:h2:mem:testdb||
1603192815227|0|statement|connection 0|url jdbc:p6spy:h2:mem:testdb|select coffeeorde0_.id as id1_1_0_, coffeeorde0_.create_time as create_t2_1_0_, coffeeorde0_.update_time as update_t3_1_0_, coffeeorde0_.customer as customer4_1_0_, coffeeorde0_.state as state5_1_0_ from t_order coffeeorde0_ where coffeeorde0_.id=?|select coffeeorde0_.id as id1_1_0_, coffeeorde0_.create_time as create_t2_1_0_, coffeeorde0_.update_time as update_t3_1_0_, coffeeorde0_.customer as customer4_1_0_, coffeeorde0_.state as state5_1_0_ from t_order coffeeorde0_ where coffeeorde0_.id=1
1603192815230|0|statement|connection 0|url jdbc:p6spy:h2:mem:testdb|select items0_.coffee_order_id as coffee_o1_2_0_, items0_.items_id as items_id2_2_0_, coffee1_.id as id1_0_1_, coffee1_.create_time as create_t2_0_1_, coffee1_.update_time as update_t3_0_1_, coffee1_.name as name4_0_1_, coffee1_.price as price5_0_1_ from t_order_coffee items0_ inner join t_coffee coffee1_ on items0_.items_id=coffee1_.id where items0_.coffee_order_id=? order by coffee1_.id|select items0_.coffee_order_id as coffee_o1_2_0_, items0_.items_id as items_id2_2_0_, coffee1_.id as id1_0_1_, coffee1_.create_time as create_t2_0_1_, coffee1_.update_time as update_t3_0_1_, coffee1_.name as name4_0_1_, coffee1_.price as price5_0_1_ from t_order_coffee items0_ inner join t_coffee coffee1_ on items0_.items_id=coffee1_.id where items0_.coffee_order_id=1 order by coffee1_.id
1603192815230|1|statement|connection 0|url jdbc:p6spy:h2:mem:testdb|update t_order set update_time=?, customer=?, state=? where id=?|update t_order set update_time='2020-10-20T19:20:15.230+0800', customer='Li Lei', state=1 where id=1
1603192815230|0|commit|connection 0|url jdbc:p6spy:h2:mem:testdb||
1603192815230|0|commit|connection 0|url jdbc:p6spy:h2:mem:testdb||
